id,jozz,sura_no,page,line_start,line_end,aya_no
1,1,1,1,2,2,1
2,1,1,1,3,3,2
3,1,1,1,4,4,3
4,1,1,1,4,4,4
5,1,1,1,5,5,5
6,1,1,1,5,6,6
7,1,1,1,6,8,7
8,1,2,2,3,3,1
9,1,2,2,3,4,2
10,1,2,2,4,5,3
11,1,2,2,5,6,4
12,1,2,2,7,8,5
13,1,2,3,1,2,6
14,1,2,3,2,3,7
15,1,2,3,3,4,8
16,1,2,3,5,6,9
17,1,2,3,6,7,10
18,1,2,3,7,8,11
19,1,2,3,8,9,12
20,1,2,3,9,11,13
21,1,2,3,11,13,14
22,1,2,3,13,14,15
23,1,2,3,14,15,16
24,1,2,4,1,2,17
25,1,2,4,2,3,18
26,1,2,4,3,5,19
27,1,2,4,5,8,20
28,1,2,4,8,9,21
29,1,2,4,9,12,22
30,1,2,4,12,14,23
31,1,2,4,14,15,24
32,1,2,5,1,4,25
33,1,2,5,4,9,26
34,1,2,5,9,11,27
35,1,2,5,11,13,28
36,1,2,5,13,15,29
37,1,2,6,1,3,30
38,1,2,6,3,5,31
39,1,2,6,5,6,32
40,1,2,6,6,9,33
41,1,2,6,9,10,34
42,1,2,6,10,12,35
43,1,2,6,12,14,36
44,1,2,6,14,15,37
45,1,2,7,1,2,38
46,1,2,7,2,3,39
47,1,2,7,4,5,40
48,1,2,7,5,7,41
49,1,2,7,7,8,42
50,1,2,7,8,9,43
51,1,2,7,9,10,44
52,1,2,7,11,11,45
53,1,2,7,12,12,46
54,1,2,7,13,14,47
55,1,2,7,14,15,48
56,1,2,8,1,3,49
57,1,2,8,3,4,50
58,1,2,8,4,5,51
59,1,2,8,6,6,52
60,1,2,8,7,7,53
61,1,2,8,8,11,54
62,1,2,8,11,12,55
63,1,2,8,12,13,56
64,1,2,8,13,15,57
65,1,2,9,1,3,58
66,1,2,9,3,5,59
67,1,2,9,5,8,60
68,1,2,9,9,15,61
69,1,2,10,1,3,62
70,1,2,10,3,5,63
71,1,2,10,5,7,64
72,1,2,10,7,8,65
73,1,2,10,8,9,66
74,1,2,10,9,11,67
75,1,2,10,12,14,68
76,1,2,10,14,15,69
77,1,2,11,1,2,70
78,1,2,11,2,4,71
79,1,2,11,4,5,72
80,1,2,11,6,7,73
81,1,2,11,7,10,74
82,1,2,11,11,13,75
83,1,2,11,13,15,76
84,1,2,12,1,1,77
85,1,2,12,2,3,78
86,1,2,12,3,5,79
87,1,2,12,6,8,80
88,1,2,12,8,10,81
89,1,2,12,10,11,82
90,1,2,12,11,15,83
91,1,2,13,1,2,84
92,1,2,13,3,9,85
93,1,2,13,9,10,86
94,1,2,13,11,14,87
95,1,2,13,14,15,88
96,1,2,14,1,3,89
97,1,2,14,4,6,90
98,1,2,14,7,10,91
99,1,2,14,10,11,92
100,1,2,14,11,15,93
101,1,2,15,1,2,94
102,1,2,15,2,3,95
103,1,2,15,4,6,96
104,1,2,15,6,8,97
105,1,2,15,9,10,98
106,1,2,15,10,11,99
107,1,2,15,12,13,100
108,1,2,15,13,15,101
109,1,2,16,1,9,102
110,1,2,16,9,10,103
111,1,2,16,11,12,104
112,1,2,16,12,15,105
113,1,2,17,1,2,106
114,1,2,17,2,4,107
115,1,2,17,4,6,108
116,1,2,17,6,10,109
117,1,2,17,10,12,110
118,1,2,17,12,14,111
119,1,2,17,14,15,112
120,1,2,18,1,4,113
121,1,2,18,4,7,114
122,1,2,18,7,8,115
123,1,2,18,9,10,116
124,1,2,18,10,11,117
125,1,2,18,11,14,118
126,1,2,18,14,15,119
127,1,2,19,1,3,120
128,1,2,19,3,5,121
129,1,2,19,5,6,122
130,1,2,19,6,8,123
131,1,2,19,8,10,124
132,1,2,19,10,12,125
133,1,2,19,13,15,126
134,1,2,20,1,2,127
135,1,2,20,2,4,128
136,1,2,20,4,6,129
137,1,2,20,6,8,130
138,1,2,20,8,9,131
139,1,2,20,9,11,132
140,1,2,20,11,14,133
141,1,2,20,14,15,134
142,1,2,21,1,2,135
143,1,2,21,2,5,136
144,1,2,21,6,7,137
145,1,2,21,8,9,138
146,1,2,21,9,10,139
147,1,2,21,11,14,140
148,1,2,21,14,15,141
149,2,2,22,1,3,142
150,2,2,22,3,8,143
151,2,2,22,8,12,144
152,2,2,22,12,15,145
153,2,2,23,1,2,146
154,2,2,23,2,3,147
155,2,2,23,3,5,148
156,2,2,23,5,7,149
157,2,2,23,7,11,150
158,2,2,23,11,13,151
159,2,2,23,13,14,152
160,2,2,23,14,15,153
161,2,2,24,1,2,154
162,2,2,24,2,3,155
163,2,2,24,4,4,156
164,2,2,24,5,6,157
165,2,2,24,6,8,158
166,2,2,24,8,10,159
167,2,2,24,11,12,160
168,2,2,24,12,13,161
169,2,2,24,14,14,162
170,2,2,24,15,15,163
171,2,2,25,1,5,164
172,2,2,25,5,8,165
173,2,2,25,9,10,166
174,2,2,25,10,12,167
175,2,2,25,13,14,168
176,2,2,25,14,15,169
177,2,2,26,1,3,170
178,2,2,26,3,4,171
179,2,2,26,5,6,172
180,2,2,26,6,9,173
181,2,2,26,9,12,174
182,2,2,26,12,14,175
183,2,2,26,14,15,176
184,2,2,27,1,7,177
185,2,2,27,7,11,178
186,2,2,27,11,12,179
187,2,2,27,12,14,180
188,2,2,27,14,15,181
189,2,2,28,1,2,182
190,2,2,28,2,4,183
191,2,2,28,4,7,184
192,2,2,28,8,13,185
193,2,2,28,13,15,186
194,2,2,29,1,8,187
195,2,2,29,8,10,188
196,2,2,29,11,14,189
197,2,2,29,14,15,190
198,2,2,30,1,3,191
199,2,2,30,3,4,192
200,2,2,30,4,5,193
201,2,2,30,5,8,194
202,2,2,30,8,9,195
203,2,2,30,9,15,196
204,2,2,31,1,4,197
205,2,2,31,4,8,198
206,2,2,31,8,9,199
207,2,2,31,10,12,200
208,2,2,31,13,14,201
209,2,2,31,14,15,202
210,2,2,32,1,3,203
211,2,2,32,4,5,204
212,2,2,32,6,7,205
213,2,2,32,7,9,206
214,2,2,32,9,10,207
215,2,2,32,10,12,208
216,2,2,32,12,13,209
217,2,2,32,14,15,210
218,2,2,33,1,2,211
219,2,2,33,2,4,212
220,2,2,33,5,10,213
221,2,2,33,10,13,214
222,2,2,33,13,15,215
223,2,2,34,1,3,216
224,2,2,34,3,10,217
