sura_no,sura_name_en,sura_name_ar
1,Al-Fātiḥah,الفَاتِحة
2,Al-Baqarah,البَقَرَة
3,Āl-‘Imrān,آل عِمران
4,An-Nisā’,النِّسَاء
5,Al-Mā’idah,المَائدة
6,Al-An‘ām,الأنعَام
7,Al-A‘rāf,الأعرَاف
8,Al-Anfāl,الأنفَال
9,At-Taubah,التوبَة
10,Yūnus,يُونس
11,Hūd,هُود
12,Yūsuf,يُوسُف
13,Ar-Ra‘d,الرَّعد
14,Ibrāhīm,إبراهِيم
15,Al-Ḥijr,الحِجر
16,An-Naḥl,النَّحل
17,Al-Isrā’,الإسرَاء
18,Al-Kahf,الكَهف
19,Maryam,مَريَم
20,Ṭā-Hā,طه
21,Al-Anbiyā’,الأنبيَاء
22,Al-Ḥajj,الحج
23,Al-Mu’minūn,المؤمنُون
24,An-Nūr,النور
25,Al-Furqān,الفُرقَان
26,Ash-Shu‘arā’,الشعراء
27,An-Naml,النَّمل
28,Al-Qaṣaṣ,القَصَص
29,Al-‘Ankabūt,العَنكبُوت
30,Ar-Rūm,الرُّوم
31,Luqmān,لُقمَان
32,As-Sajdah,السَّجدة
33,Al-Aḥzāb,الأحزَاب
34,Saba’,سَبإ
35,Fāṭir,فَاطِر
36,Yā-Sīn,يسٓ
37,Aṣ-Ṣāffāt,الصَّافَات
38,Ṣād,صٓ
39,Az-Zumar,الزُّمَر
40,Ghāfir,غَافِر
41,Fuṣṣilat,فُصِّلَت
42,Ash-Shūra,الشُّورى
43,Az-Zukhruf,الزُّخرُف
44,Ad-Dukhān,الدُّخان
45,Al-Jāthiyah,الجاثِية
46,Al-Aḥqāf,الأحقَاف
47,Muḥammad,مُحمد
48,Al-Fatḥ,الفَتح
49,Al-Ḥujurāt,الحُجُرَات
50,Qāf,قٓ
51,Adh-Dhāriyāt,الذَّاريَات
52,Aṭ-Ṭūr,الطُّور
53,An-Najm,النَّجم
54,Al-Qamar,القَمَر
55,Ar-Raḥmān,الرَّحمٰن
56,Al-Wāqi‘ah,الوَاقِعة
57,Al-Ḥadīd,الحدِيد
58,Al-Mujādilah,المُجَادلة
59,Al-Ḥashr,الحَشر
60,Al-Mumtaḥanah,المُمتَحنَة
61,Aṣ-Ṣaff,الصَّف
62,Al-Jumu‘ah,الجُمعَة
63,Al-Munāfiqūn,المُنَافِقُونَ
64,At-Taghābun,التغَابُن
65,Aṭ-Ṭalāq,الطَّلَاق
66,At-Taḥrīm,التَّحرِيم
67,Al-Mulk,المُلك
68,Al-Qalam,القَلَم
69,Al-Ḥāqqah,الحَاقة
70,Al-Ma‘ārij,المَعَارج
71,Nūḥ,نُوح
72,Al-Jinn,الجِن
73,Al-Muzzammil,المُزمل
74,Al-Muddaththir,المُدثر
75,Al-Qiyāmah,القِيَامة
76,Al-Insān,الإنسَان
77,Al-Mursalāt,المُرسَلات
78,An-Naba’,النَّبَإ
79,An-Nāzi‘āt,النَّازعَات
80,‘Abasa,عَبَسَ
81,At-Takwīr,التَّكوير
82,Al-Infiṭār,الانفِطَار
83,Al-Muṭaffifīn,المُطَففين
84,Al-Inshiqāq,الانشِقَاق
85,Al-Burūj,البُرُوج
86,Aṭ-Ṭāriq,الطَّارق
87,Al-A‘lā,الأعلى
88,Al-Ghāshiyah,الغَاشِية
89,Al-Fajr,الفَجر
90,Al-Balad,البَلَد
91,Ash-Shams,الشَّمس
92,Al-Lail,اللَّيل
93,Aḍ-Ḍuḥā,الضُّحى
94,Ash-Sharḥ,الشَّرح
95,At-Tīn,التِّين
96,Al-‘Alaq,العَلَق
97,Al-Qadr,القَدر
98,Al-Bayyinah,البَينَة
99,Az-Zalzalah,الزَّلزَلة
100,Al-‘Ādiyāt,العَاديَات
101,Al-Qāri‘ah,القَارعَة
102,At-Takāthur,التَّكاثُر
103,Al-‘Aṣr,العَصر
104,Al-Humazah,الهُمَزة
105,Al-Fīl,الفِيل
106,Quraish,قُرَيش
107,Al-Mā‘ūn,المَاعُون
108,Al-Kauthar,الكَوثر
109,Al-Kāfirūn,الكافِرون
110,An-Naṣr,النَّصر
111,Al-Masad,المَسَد
112,Al-Ikhlāṣ,الإخلَاص
113,Al-Falaq,الفَلَق
114,An-Nās,النَّاس
