id,jozz,sura_no,sura_name_en,sura_name_ar,page,line_start,line_end,aya_no,aya_text,aya_text_emlaey,type
1,1,1,Al-Fātiḥah,الفَاتِحة,1,2,2,1,,بسم الله الرحمن الرحيم,J
1,1,1,Al-Fātiḥah,الفَاتِحة,1,2,2,1,,,S
8,1,2,Al-Baqarah,البَقَرَة,2,3,3,1,,,S
149,2,2,Al-Baqarah,البَقَرَة,22,1,3,142,,سيقول السفهاء من الناس,J
260,3,2,Al-Baqarah,البَقَرَة,42,1,6,253,,تلك الرسل فضلنا بعضهم على بعض,J
294,3,3,Āl-‘Imrān,آل عِمران,50,3,3,1,,,S
385,4,3,Āl-‘Imrān,آل عِمران,62,1,2,92,,لن تنالوا البر حتى تنفقوا مما تحبون,J
494,4,4,An-Nisā’,النِّسَاء,77,3,5,1,,,S
517,5,4,An-Nisā’,النِّسَاء,82,1,6,24,,والمحصنات من النساء,J
641,6,4,An-Nisā’,النِّسَاء,102,1,2,148,,لا يحب الله الجهر بالسوء,J
670,6,5,Al-Mā’idah,المَائدة,106,8,10,1,,,S
751,7,5,Al-Mā’idah,المَائدة,121,9,13,82,,لتجدن أشد الناس عداوة,J
790,7,6,Al-An‘ām,الأنعَام,128,3,4,1,,,S
900,8,6,Al-An‘ām,الأنعَام,142,1,3,111,,ولو أننا نزلنا إليهم الملائكة,J
955,8,7,Al-A‘rāf,الأعرَاف,151,3,3,1,,,S
1042,9,7,Al-A‘rāf,الأعرَاف,162,1,3,88,,قال الملأ الذين استكبروا,J
1161,9,8,Al-Anfāl,الأنفَال,177,3,5,1,,,S
1201,10,8,Al-Anfāl,الأنفَال,182,1,4,41,,واعلموا أنما غنمتم,J
1236,10,9,At-Taubah,التوبَة,187,2,2,1,,,S
1329,11,9,At-Taubah,التوبَة,202,1,4,94,,يعتذرون إليكم,J
1365,11,10,Yūnus,يُونس,208,3,3,1,,,S
1474,11,11,Hūd,هُود,221,9,9,1,,,S
1479,12,11,Hūd,هُود,222,1,2,6,,وما من دابة,J
1597,12,12,Yūsuf,يُوسُف,235,11,11,1,,,S
1649,13,12,Yūsuf,يُوسُف,242,1,2,53,,وما أبرئ نفسي,J
1708,13,13,Ar-Ra‘d,الرَّعد,249,3,4,1,,,S
1751,13,14,Ibrāhīm,إبراهِيم,255,5,6,1,,,S
1803,14,15,Al-Ḥijr,الحِجر,262,3,3,1,,الر تلك آيات الكتاب وقرآن مبين,J
1803,14,15,Al-Ḥijr,الحِجر,262,3,3,1,,,S
1902,14,16,An-Naḥl,النَّحل,267,9,9,1,,,S
2030,15,17,Al-Isrā’,الإسرَاء,282,3,5,1,,سبحان الذي أسرى,J
2030,15,17,Al-Isrā’,الإسرَاء,282,3,5,1,,,S
2141,15,18,Al-Kahf,الكَهف,293,12,12,1,,,S
2215,16,18,Al-Kahf,الكَهف,302,1,1,75,,قال ألم أقل لك إنك لن تستطيع معي صبرا,J
2251,16,19,Maryam,مَريَم,305,3,3,1,,,S
2349,16,20,Ṭā-Hā,طه,312,7,7,1,,,S
2484,17,21,Al-Anbiyā’,الأنبيَاء,322,3,3,1,,اقترب للناس حسابهم,J
2484,17,21,Al-Anbiyā’,الأنبيَاء,322,3,3,1,,,S
2596,17,22,Al-Ḥajj,الحج,332,3,3,1,,,S
2674,18,23,Al-Mu’minūn,المؤمنُون,342,3,3,1,,قد أفلح المؤمنون,J
2674,18,23,Al-Mu’minūn,المؤمنُون,342,3,3,1,,,S
2792,18,24,An-Nūr,النور,350,3,3,1,,,S
2856,18,25,Al-Furqān,الفُرقَان,359,13,13,1,,,S
2876,19,25,Al-Furqān,الفُرقَان,362,1,2,21,,وقال الذين لا يرجون لقاءنا,J
2933,19,26,Ash-Shu‘arā’,الشعراء,367,3,3,1,,,S
3160,19,27,An-Naml,النَّمل,377,3,3,1,,,S
3215,20,27,An-Naml,النَّمل,382,1,2,56,,فما كان جواب قومه,J
3253,20,28,Al-Qaṣaṣ,القَصَص,385,10,10,1,,,S
3341,20,29,Al-‘Ankabūt,العَنكبُوت,396,10,10,1,,,S
3386,21,29,Al-‘Ankabūt,العَنكبُوت,402,1,3,46,,ولا تجادلوا أهل الكتاب إلا بالتي هي أحسن,J
3410,21,30,Ar-Rūm,الرُّوم,404,12,12,1,,,S
3470,21,31,Luqmān,لُقمَان,411,3,3,1,,,S
3504,21,32,As-Sajdah,السَّجدة,415,3,3,1,,,S
3534,21,33,Al-Aḥzāb,الأحزَاب,418,3,4,1,,,S
3564,22,33,Al-Aḥzāb,الأحزَاب,422,1,2,31,,ومن يقنت,J
3607,22,34,Saba’,سَبإ,428,3,4,1,,,S
3661,22,35,Fāṭir,فَاطِر,434,10,12,1,,,S
3706,22,36,Yā-Sīn,يسٓ,440,6,6,1,,,S
3733,23,36,Yā-Sīn,يسٓ,442,1,2,28,,وما أنزلنا على قومه,J
3789,23,37,Aṣ-Ṣāffāt,الصَّافَات,446,3,3,1,,,S
3971,23,38,Ṣād,صٓ,453,3,3,1,,,S
4059,23,39,Az-Zumar,الزُّمَر,458,6,6,1,,,S
4090,24,39,Az-Zumar,الزُّمَر,462,1,2,32,,فمن أظلم ممن كذب على الله,J
4134,24,40,Ghāfir,غَافِر,467,5,5,1,,,S
4219,24,41,Fuṣṣilat,فُصِّلَت,477,3,3,1,,,S
4265,25,41,Fuṣṣilat,فُصِّلَت,482,1,3,47,,إليه يرد علم الساعة,J
4273,25,42,Ash-Shūra,الشُّورى,483,3,3,1,,,S
4326,25,43,Az-Zukhruf,الزُّخرُف,489,7,7,1,,,S
4415,25,44,Ad-Dukhān,الدُّخان,496,3,3,1,,,S
4474,25,45,Al-Jāthiyah,الجاثِية,499,3,3,1,,,S
4511,26,46,Al-Aḥqāf,الأحقَاف,502,9,9,1,,حم,J
4511,26,46,Al-Aḥqāf,الأحقَاف,502,9,9,1,,,S
4546,26,47,Muḥammad,مُحمد,507,3,3,1,,,S
4584,26,48,Al-Fatḥ,الفَتح,511,3,3,1,,,S
4613,26,49,Al-Ḥujurāt,الحُجُرَات,515,9,10,1,,,S
4631,26,50,Qāf,قٓ,518,3,3,1,,,S
4676,26,51,Adh-Dhāriyāt,الذَّاريَات,520,14,14,1,,,S
4706,27,51,Adh-Dhāriyāt,الذَّاريَات,522,1,1,31,,قال فما خطبكم,J
4736,27,52,Aṭ-Ṭūr,الطُّور,523,10,10,1,,,S
4785,27,53,An-Najm,النَّجم,526,3,3,1,,,S
4847,27,54,Al-Qamar,القَمَر,528,12,12,1,,,S
4902,27,55,Ar-Raḥmān,الرَّحمٰن,531,7,7,1,,,S
4980,27,56,Al-Wāqi‘ah,الوَاقِعة,534,9,9,1,,,S
5076,27,57,Al-Ḥadīd,الحدِيد,537,13,13,1,,,S
5105,28,58,Al-Mujādilah,المُجَادلة,542,3,4,1,,قد سمع,J
5105,28,58,Al-Mujādilah,المُجَادلة,542,3,4,1,,,S
5127,28,59,Al-Ḥashr,الحَشر,545,9,10,1,,,S
5151,28,60,Al-Mumtaḥanah,المُمتَحنَة,549,3,7,1,,,S
5164,28,61,Aṣ-Ṣaff,الصَّف,551,9,9,1,,,S
5178,28,62,Al-Jumu‘ah,الجُمعَة,553,3,4,1,,,S
5189,28,63,Al-Munāfiqūn,المُنَافِقُونَ,554,9,10,1,,,S
5200,28,64,At-Taghābun,التغَابُن,556,3,4,1,,,S
5218,28,65,Aṭ-Ṭalāq,الطَّلَاق,558,3,6,1,,,S
5230,28,66,At-Taḥrīm,التَّحرِيم,560,3,4,1,,,S
5242,29,67,Al-Mulk,المُلك,562,3,3,1,,تبارك,J
5242,29,67,Al-Mulk,المُلك,562,3,3,1,,,S
5272,29,68,Al-Qalam,القَلَم,564,8,8,1,,,S
5324,29,69,Al-Ḥāqqah,الحَاقة,566,12,12,1,,,S
5376,29,70,Al-Ma‘ārij,المَعَارج,568,11,11,1,,,S
5420,29,71,Nūḥ,نُوح,570,7,8,1,,,S
5448,29,72,Al-Jinn,الجِن,572,3,4,1,,,S
5476,29,73,Al-Muzzammil,المُزمل,574,3,3,1,,,S
